Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,Class
332,224,271,6,0,180224,28672,0,5264,4096,184320,4194304,4096,4096,4,0,1,0,4,0,212992,4096,258050,2,0,1048576,4096,1048576,4096,0,16,3,3.381002858720508,0.0,5.953457820224228,64170.666666666664,4096,180224,67446.0,5054,177356,0,0,0,0,4,4.329976961705325,2.7711426205984724,6.324966597183552,1191.5,34,2440,0,1,1
332,224,259,9,0,286208,24064,0,289296,4096,290816,4194304,4096,512,5,0,0,0,5,0,327680,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,3.8930932978074324,0.0,7.8150281445845335,62054.4,512,286208,61735.8,100,285859,0,0,0,0,37,3.06484185747826,1.2192342152742928,4.807668368359742,426.5405405405405,11,1568,0,0,1
332,224,271,5,12,103936,197120,0,92974,4096,110592,4194304,4096,512,4,0,4,0,4,0,602112,4096,0,2,0,1048576,4096,1048576,4096,0,16,7,3.05694548756111,0,6.670353620348163,43081.142857142855,0,177664,84652.42857142857,2560,458751,0,0,0,0,4,3.9171438192358057,2.515885715445287,4.987613105522613,3818.0,48,9640,0,0,1
332,224,783,5,12,250368,24576,0,5361,4096,413696,4194304,4096,512,4,0,4,0,4,0,446464,4096,0,2,0,1048576,4096,1048576,4096,0,16,4,5.261730483074872,4.288519272710697,6.7019292188422614,68736.0,3072,250368,110298.75,2923,409600,0,0,0,0,5,4.483206483016818,2.4209866204047925,6.549782160737898,746.4,48,1640,0,1,1
332,224,271,5,12,387072,87552,0,1762254,4096,1417216,4194304,4096,512,4,0,4,0,4,0,1843200,4096,0,2,0,1048576,4096,1048576,4096,0,16,7,3.1962455228743036,0,6.839146714704408,67876.57142857143,0,387072,261839.57142857142,2491,1413119,0,0,0,0,4,3.6327448547290437,2.515885715445287,4.294527057193271,3818.0,48,9640,0,0,1
332,224,271,7,2,77824,28672,233472,4436,237568,315392,4194304,4096,512,8,4,8,0,4,0,434176,4096,0,2,0,1048576,4096,1048576,4096,0,16,3,3.080548676523249,1.4623062689535575,5.368266470242054,112298.66666666667,29184,233472,143360.0,77824,233472,0,0,0,0,13,4.314739432815784,2.41477507147585,6.558999470526255,2055.6923076923076,132,9640,0,0,1
332,224,271,7,10,16384,274432,0,5056,4096,20480,4194304,4096,4096,4,0,0,0,4,0,294912,4096,0,2,0,1048576,4096,1048576,4096,0,16,4,5.381295522244772,3.373865730530893,7.2996202437206,72704.0,8192,217088,71253.5,4950,215160,0,0,0,0,22,3.282954611459142,1.1385838901844965,5.175007584415503,2156.909090909091,16,9640,72,0,1
332,224,271,7,10,8192,278528,0,10860,4096,12288,4194304,4096,4096,4,0,0,0,4,0,290816,4096,0,2,0,1048576,4096,1048576,4096,0,16,4,5.891462415942307,4.90678240074209,7.9751147711103965,44032.0,4096,139264,69995.0,3650,246140,0,0,0,0,9,4.373997868301576,2.8662889861341783,6.297310303454952,2470.0,118,9640,0,0,1
332,224,258,6,0,37376,136077,0,66269,65536,4096,4194304,4096,512,5,0,0,0,4,0,151552,1024,0,2,0,1048576,4096,1048576,4096,0,16,4,6.133276680809218,2.7905622036240945,7.9699707878977994,11520.0,1024,37376,35259.25,4096,73728,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1
332,224,258,10,0,212992,20480,0,176213,4096,217088,4194304,4096,512,5,1,1,0,5,1,241664,1024,0,2,33024,1048576,4096,1048576,4096,0,16,3,5.161912073318162,2.734653028481469,6.685163617367687,74752.0,2560,212992,77638.66666666667,8676,212916,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1
332,224,271,8,3,151552,4096,16007168,16161456,16011264,16162816,4194304,4096,512,10,4,8,1,4,0,16166912,4096,0,2,0,1048576,4096,1048576,4096,0,16,3,4.657987361596615,0,7.968458140586823,50688.0,0,151040,5387605.333333333,4096,16007168,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,1
332,224,783,5,12,1343488,20480,1941504,3287456,1945600,3289088,4194304,4096,512,4,0,4,0,4,0,3309568,4096,0,2,0,1048576,4096,1048576,4096,0,16,3,4.4339712603615,0,7.917747331406406,453973.3333333333,0,1342976,1101824.0,20480,1941504,0,0,0,0,3,4.067038055323876,1.919240704636849,5.356074719001124,5935.333333333333,20,16936,0,0,1
