Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,Class
332,224,271,6,0,26112,141824,2048,13559,4096,32768,4194304,4096,512,4,0,6,0,4,0,442368,1024,16818794,2,34112,1048576,4096,1048576,4096,0,16,5,4.56177984872013,0,7.209718080524971,29798.4,0,116224,85291.0,5018,147456,0,0,0,0,31,3.7274158836952185,2.621967052293514,7.983301404118013,3693.7419354838707,118,64105,0,1,0
332,224,271,6,0,26112,141824,2048,13559,4096,32768,4194304,4096,512,4,0,6,0,4,0,442368,1024,16853418,2,34112,1048576,4096,1048576,4096,0,16,5,4.561781979723845,0,7.209728735543542,29798.4,0,116224,85291.0,5018,147456,0,0,0,0,31,3.727825949492446,2.621967052293514,7.983301404118013,3693.7419354838707,118,64105,0,1,0
332,224,783,2,56,57856,53248,208384,4096,4096,65536,4194304,4096,512,4,0,1,0,4,0,335872,1024,161881,3,0,2097152,4096,1048576,4096,0,16,5,2.883791847411398,0.0,6.4190794371356334,22220.8,0,57856,63516.0,4,208088,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
332,224,258,9,0,47616,23040,0,9655,4096,53248,4194304,4096,512,5,0,0,0,5,0,90112,1024,111092,2,33088,1048576,4096,1048576,4096,0,16,5,4.577532069279084,2.3362392564514547,6.587207944484544,14131.2,1536,47616,15490.8,1200,47512,0,0,0,0,2,4.07039997343293,3.3448263445923954,4.795973602273464,519.0,346,692,72,1,0
34404,240,35,8,0,60928,30208,0,21952,4096,0,5368709120,4096,512,4,0,0,0,5,2,110592,1024,125580,3,32768,1048576,4096,1048576,4096,0,16,5,4.59499795140081,2.054149652198196,6.237167378438778,18227.2,1536,60928,19793.6,1356,60670,0,0,0,0,2,4.1235685659432075,3.463433572940021,4.783703558946395,597.0,354,840,0,1,0
332,224,259,8,0,49152,28672,0,18043,4096,53248,4194304,4096,4096,4,0,0,0,4,0,86016,4096,112607,3,0,1048576,4096,1048576,4096,0,16,4,4.284977518568043,1.3497939311456606,6.530513507886199,19456.0,4096,49152,18779.0,1352,48020,0,0,0,0,2,4.120642614076383,3.45758166920637,4.783703558946395,595.0,354,836,72,1,0
332,224,271,6,0,24576,32768,0,15584,4096,28672,4194304,4096,4096,4,0,0,0,4,0,61440,4096,73576,2,0,1048576,4096,1048576,4096,0,16,4,3.9131754147046105,2.706222867132269,6.0467025236750915,13312.0,4096,24576,11685.0,4474,22062,0,0,0,0,13,2.351505983231041,0.8977754494218975,3.4148590877412253,1129.8461538461538,20,9064,0,1,0
332,224,782,5,0,651264,90112,0,4096,4096,655360,4194304,4096,512,4,0,0,0,4,0,2846720,1536,2856268,2,0,1048576,8192,1048576,4096,0,16,8,4.0328125289030226,0.0,6.592452996739267,350912.0,512,1982464,355328.0,4096,1982464,0,0,0,863,100,2.1160488051456303,0.369696127234315,7.758575843299687,19759.83,16,378763,0,1,0
332,224,782,2,56,92672,54784,3584,4096,4096,98304,4194304,4096,512,4,0,1,0,4,0,172032,1024,157673,3,0,2097152,4096,1048576,4096,0,16,8,3.5661956037003635,0.0,6.662247598051867,18432.0,0,92672,18520.625,4,92264,0,0,0,248,0,0.0,0,0,0.0,0,0,0,0,0
332,224,783,2,56,256000,50688,15872,4096,4096,262144,4194304,4096,512,4,0,1,0,4,0,335872,1024,356770,3,0,2097152,4096,1048576,4096,0,16,5,3.3630650504051056,0.0,6.394687341192293,61337.6,0,256000,64155.2,4,255744,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
